cell_id,year,ambient_population
r163c1239,1975,109388.78730946065
r163c1240,1975,45795.41832088561
r164c1239,1975,15483.047072459682
r164c1240,1975,30796.922569509643
r165c1237,1975,3226.9275517051947
r165c1238,1975,42172.42677948157
r165c1239,1975,33434.94400907752
r165c1240,1975,1368.9412037482925
r165c1241,1975,141409.3552186365
r165c1242,1975,14576.598319503682
r166c1236,1975,60852.12268192118
r166c1237,1975,13620.914060290226
r166c1238,1975,56157.84740794335
r166c1239,1975,1331.4433944928896
r166c1240,1975,8030.280510524884
r167c1232,1975,4678.532850212627
r167c1233,1975,13542.497435980795
r167c1234,1975,3535.683605468361
r167c1235,1975,4315.920176519168
r167c1236,1975,9435.785940106918
r167c1237,1975,719.6576281394152
r167c1238,1975,123859.9130816179
r167c1239,1975,646819.6829824883
r168c1226,1975,4218.969348457727
r168c1227,1975,20607.537949670164
r168c1233,1975,15328.221913393083
r168c1234,1975,1121.4573568302044
r168c1235,1975,2274.8379205316014
r168c1236,1975,21.83330774307251
r168c1237,1975,1046.554008433946
r168c1238,1975,241679.55782324754
r169c1226,1975,23701.18468394776
r169c1227,1975,5724.234944671392
r169c1228,1975,5153.3690357059395
r169c1229,1975,6426.6845096500765
r169c1230,1975,6256.94649404908
r169c1231,1975,9161.097596568618
r169c1232,1975,562848.5752367817
r169c1233,1975,14910.244312233639
r169c1234,1975,2768.0001844102553
r169c1235,1975,259.09622154630284
r169c1236,1975,1735.2347304400275
r169c1237,1975,31793.432935455665
r169c1238,1975,33966.588905217905
r170c1225,1975,140479.6365339664
r170c1226,1975,12438.255062754466
r170c1227,1975,982.851625706796
r170c1228,1975,1985.7616849541664
r170c1229,1975,493.02611481770873
r170c1230,1975,189.41186888422817
r170c1231,1975,3105.8821833990514
r170c1232,1975,4850.426596589328
r170c1233,1975,18409.621627099303
r170c1234,1975,6033.713630894199
r170c1235,1975,7866.333793905715
r170c1236,1975,406.5234301691802
r170c1237,1975,33031.54070931973
r170c1238,1975,4625.930466736565
r171c1223,1975,20793.982243509803
r171c1224,1975,2831.703832133621
r171c1225,1975,1008.5623597585394
r171c1226,1975,491843.51466213114
r171c1227,1975,1672.7844844880058
r171c1228,1975,11818.854316115612
r171c1229,1975,982.3808743103573
r171c1230,1975,1035.8444741467415
r171c1231,1975,2313.5176291950047
r171c1232,1975,30365.02718032144
r171c1233,1975,2078.5853951313143
r171c1234,1975,647.6061241729185
r171c1235,1975,55383.6208801282
r171c1236,1975,5321.05213426223
r171c1237,1975,106765.21279158734
r171c1238,1975,19554.199716033712
r172c1221,1975,8742.000659920006
r172c1222,1975,8974.067527479592
r172c1223,1975,5848.969520658255
r172c1224,1975,3185.9658073204405
r172c1225,1975,105393.8894969506
r172c1226,1975,20919.208363673093
r172c1227,1975,1093.1857471577823
r172c1228,1975,1369.8355417791754
r172c1229,1975,168.62772911600769
r172c1230,1975,4658.272174842429
r172c1231,1975,3982.6507889599047
r172c1232,1975,4213.010324177252
r172c1233,1975,602.5671485712277
r172c1234,1975,36750.402879282134
r172c1235,1975,23229.81601281499
r172c1236,1975,265315.71461856645
r173c1219,1975,28844.256791543048
r173c1220,1975,57368.85621707204
r173c1221,1975,689.4297568729768
r173c1222,1975,3202.9298710990693
r173c1223,1975,463.05363714694977
r173c1224,1975,1673.4187623686212
r173c1225,1975,8268.336638692137
r173c1226,1975,6434.386201143265
r173c1227,1975,942.9192834198475
r173c1228,1975,4818.66936717342
r173c1229,1975,739.7949216634327
r173c1230,1975,11204.091985832412
r173c1231,1975,1601.158715152861
r173c1232,1975,8217.015426009255
r173c1233,1975,36251.99447264422
r173c1234,1975,37902.133103414235
r174c1218,1975,38787.679071629645
r174c1219,1975,1816.8267910949594
r174c1220,1975,77029.8455654341
r174c1221,1975,1234.1875121852127
r174c1222,1975,9786.252383970737
r174c1223,1975,54128.18074230452
r174c1224,1975,146070.25786113788
r174c1225,1975,210532.64547898504
r174c1226,1975,2208.666411923493
r174c1227,1975,2895.316001312807
r174c1228,1975,83.27121336672788
r174c1229,1975,32271.432680326678
r174c1230,1975,41036.52981831641
r174c1231,1975,114851.44083236017
r174c1232,1975,203163.6686747638
r174c1233,1975,82103.53328528283
r175c1217,1975,64981.445119087984
r175c1218,1975,89864.60350206906
r175c1219,1975,45422.89945292739
r175c1220,1975,68644.23039686929
r175c1221,1975,75130.76210303848
r175c1222,1975,30558.76961138106
r175c1223,1975,35254.16526098969
r175c1224,1975,77411.54695683804
r175c1225,1975,123674.28952658101
r175c1226,1975,3273.078041466845
r175c1227,1975,1027.6420428878025
r175c1228,1975,541.7625528317346
r175c1229,1975,84263.69548371894
r175c1230,1975,1393396.0580487605
r176c1218,1975,3515.5067430385243
r176c1220,1975,149925.84024984867
r176c1221,1975,12241.100310452568
r176c1222,1975,354840.49324962264
r176c1223,1975,142947.9616395508
r176c1224,1975,79502.37896306222
r176c1225,1975,182238.28420184448
r176c1226,1975,17577.588475373585
r176c1227,1975,13303.796263107624
r176c1228,1975,31141.018354578235
r176c1229,1975,24776.331112274853
r177c1222,1975,128370.7906973953
r177c1223,1975,487886.11996238533
r177c1224,1975,400326.8464887831
r177c1225,1975,27722.15519261296
r177c1226,1975,8207.692787418435
r177c1227,1975,8674.922533459743
r177c1228,1975,152439.7115278059
r177c1229,1975,37283.373164894074
r178c1221,1975,32925.76519132571
r178c1222,1975,685337.040728459
r178c1223,1975,649706.6806664821
r178c1224,1975,21029.287718266583
r178c1225,1975,47889.24895907846
r178c1226,1975,28413.969609275624
r178c1227,1975,1626.057466859239
r178c1228,1975,565.3367248055141
