record_id,site_id,site_name,cell_id,longitude,latitude,collection_start,collection_end,collection_years,active_months,trap_nights,trap_hours,value,value_unit,source_url,license
kim2018_hapcheon_seosan_ri_2013_2014,hapcheon_seosan_ri,"Seosan-ri, Hapcheon",r192c1232,128.145383,35.571269,2013-04-01,2014-11-30,2013;2014,04;05;06;07;08;09;10;11,32,448,0.1,female mosquitoes per trap-night,https://doi.org/10.1111/1748-5967.12314,http://onlinelibrary.wiley.com/termsAndConditions#vor
kim2018_miryang_sannae_myeon_2013_2014,miryang_sannae_myeon,"Sannae-myeon, Miryang",r192c1235,128.885039,35.561125,2013-04-01,2014-11-30,2013;2014,04;05;06;07;08;09;10;11,32,448,0.1,female mosquitoes per trap-night,https://doi.org/10.1111/1748-5967.12314,http://onlinelibrary.wiley.com/termsAndConditions#vor
kim2018_busan_daejeo_1_2013_2014,busan_daejeo_1,"Daejeo-1-dong, Gangseo-gu, Busan",r194c1235,128.945594,35.224458,2013-04-01,2014-11-30,2013;2014,04;05;06;07;08;09;10;11,32,448,0.9,female mosquitoes per trap-night,https://doi.org/10.1111/1748-5967.12314,http://onlinelibrary.wiley.com/termsAndConditions#vor
kim2018_busan_eulsukdo_2013_2014,busan_eulsukdo,"Eulsukdo, Hadan-dong, Saha-gu, Busan",r194c1235,128.945989,35.104603,2013-04-01,2014-11-30,2013;2014,04;05;06;07;08;09;10;11,32,448,0.1,female mosquitoes per trap-night,https://doi.org/10.1111/1748-5967.12314,http://onlinelibrary.wiley.com/termsAndConditions#vor
kim2018_busan_cheonghak_2013_2014,busan_cheonghak,"Cheonghak-dong, Yeongdo-gu, Busan",r194c1236,129.060239,35.096614,2013-04-01,2014-11-30,2013;2014,04;05;06;07;08;09;10;11,32,448,0.3,female mosquitoes per trap-night,https://doi.org/10.1111/1748-5967.12314,http://onlinelibrary.wiley.com/termsAndConditions#vor
kim2018_busan_dongsam_2013_2014,busan_dongsam,"Dongsam-dong, Yeongdo-gu, Busan",r194c1236,129.081025,35.062586,2013-04-01,2014-11-30,2013;2014,04;05;06;07;08;09;10;11,32,448,0.1,female mosquitoes per trap-night,https://doi.org/10.1111/1748-5967.12314,http://onlinelibrary.wiley.com/termsAndConditions#vor
