geography,species,recent_mean_annual_ambient_population_observed_cells,population_in_cells_with_increasing_suitable_month_count,share_recent_population_in_cells_with_increasing_suitable_month_count,population_in_cells_with_longer_suitable_span,share_recent_population_in_cells_with_longer_suitable_span,population_in_cells_with_longer_contiguous_run,population_weighted_suitable_month_count_delta,population_weighted_suitable_span_delta,population_weighted_longest_run_delta,n_cells_paired,interpretation
North Korea,aegypti,25229886.303034,22280893.29706,0.883115,22384830.044938,0.887235,21866265.384227,0.401523,0.44827,0.354776,215,Population exposure indicator; not disease incidence or individual risk
South Korea,aegypti,50702084.764521,50289339.356319,0.991859,50289339.356319,0.991859,50289339.356319,0.485236,0.485416,0.484019,155,Population exposure indicator; not disease incidence or individual risk
Korean Peninsula,aegypti,75931971.067556,72570232.653379,0.955727,72674169.401257,0.957096,72155604.740546,0.457421,0.473073,0.441076,370,Population exposure indicator; not disease incidence or individual risk
North Korea,albopictus,25229886.303034,24309760.487287,0.96353,24974685.546876,0.989885,24254656.980867,0.369983,0.399509,0.340458,215,Population exposure indicator; not disease incidence or individual risk
South Korea,albopictus,50702084.764521,50681022.351072,0.999585,50681022.351072,0.999585,50681022.351072,0.358673,0.358076,0.35927,155,Population exposure indicator; not disease incidence or individual risk
Korean Peninsula,albopictus,75931971.067556,74990782.838359,0.987605,75655707.897948,0.996362,74935679.331939,0.362431,0.371843,0.353019,370,Population exposure indicator; not disease incidence or individual risk
